1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1607.744,1485.004,941.6106666666666,1174.198,881.5168000000001,1002.5773333333334,864.7622857142857,1024.356,830.0657777777777,906.8248000000001,838.9403636363636,927.2246666666666,837.3895384615385,896.1,848.1893333333334,951.373,827.6621176470588,868.5168888888888,842.2753684210526,884.9712,836.4944761904762,884.5392727272728,853.8100869565217,913.3906666666667,843.6259200000001,869.6775384615385,857.1324444444444,895.2102857142856,848.7026206896552,884.6613333333333,859.2792258064517,923.876,850.2477575757575,869.5418823529412,858.928,883.124,857.4633513513513,882.4791578947369,866.4588717948717,894.6691999999999
1607.744,1133.152,1120.6,933.144,1054.36,998.624,1037.096,879.008,1027.584,985.488,1020.984,942.976,1006.48,982.272,1020.2,828.192,993.6,953.04,980.864,952.32,997.704,985.864,994.696,882.032,952.0,937.112,964.224,941.232,950.824,963.864,963.304,798.0,955.792,946.4,962.0,916.536,977.864,934.328,942.904,948.896
0.6598249999999996,0.9543549999999951,0.8858949999999971,0.9961549999999937,0.8939324999999976,0.9585699999999953,0.9001524999999966,0.9976199999999937,0.906742499999997,0.9365874999999961,0.9083474999999974,0.9673224999999952,0.9159324999999966,0.9344724999999969,0.9186499999999973,0.9993749999999937,0.9170099999999975,0.9273949999999966,0.9138174999999972,0.9209524999999973,0.9110374999999967,0.9427449999999968,0.9207924999999973,0.9746724999999954,0.9199424999999973,0.9302874999999969,0.9252999999999976,0.9555074999999963,0.9111924999999975,0.9376849999999971,0.9219824999999976,0.9993749999999937,0.932337499999997,0.9287274999999972,0.9231949999999971,0.9376799999999966,0.9313724999999973,0.9245399999999971,0.9216749999999975,0.9327099999999969
610.5581080266713,282.6626339694907,284.59779188047054,267.3515573488725,315.1553381850068,333.92713845867155,326.46053928841474,350.9267481888172,339.79997210329515,376.007956242405,349.01695311672125,378.5672979789233,373.99198338370144,394.3826818430627,375.0685886904184,397.2956740975498,383.2805183523875,404.28710577543336,389.89678545041187,412.6984602429571,397.79644977720096,413.9607170387303,400.8394024111622,419.2997483182634,405.61386922909526,419.89274066285947,407.66447160889084,423.80541687761064,411.2513597956263,426.9738454640953,415.0892441226388,423.2815980084658,417.04461725609247,428.4567962400307,419.6519257785025,429.4081188645363,422.85161186718744,433.209950368922,423.4718116457713,435.6996365669569
0.6598249999999996,0.7998724999999998,0.7533099999999993,0.7951775000000002,0.7579800000000002,0.7895799999999997,0.7713374999999996,0.8058275000000004,0.7665875,0.7914049999999997,0.7705150000000003,0.7967225000000001,0.7841150000000001,0.7909900000000002,0.7878374999999999,0.8100400000000004,0.7825400000000005,0.7885125000000001,0.7816175000000004,0.7786974999999997,0.7813899999999999,0.7965374999999999,0.7837075000000004,0.8045425,0.7844800000000004,0.7872325000000009,0.7847724999999998,0.8063025000000007,0.7719175000000004,0.7958350000000003,0.7859550000000004,0.8132774999999999,0.7889550000000001,0.7888325000000002,0.7909225000000001,0.7855575000000001,0.7959025000000005,0.7880450000000002,0.7829025000000007,0.7905975000000002
0.0,423.032,267.82,430.52,205.244,330.624,217.432,390.508,238.876,262.808,232.72,306.668,241.7,225.928,238.644,389.936,214.368,274.192,227.14,217.792,208.108,250.412,209.516,305.668,242.972,261.376,219.176,249.556,211.884,226.064,200.768,371.268,229.584,243.304,199.576,240.84,217.212,233.304,182.912,196.008
0.0,0.0,0.0,0.0,2.504,0.0,2.504,0.0,6.828,0.0,8.276,0.0,7.828,0.0,7.828,0.0,4.752,0.0,4.752,0.0,15.712,0.0,18.848,0.0,9.112,10.444,6.916,0.0,18.332,13.58,14.488,0.0,14.996,13.58,11.092,1.116,14.996,16.392,9.248,0.0
0.0,0.392,0.28,0.472,0.232,0.36,0.236,0.444,0.276,0.296,0.284,0.364,0.272,0.26,0.276,0.484,0.252,0.324,0.272,0.26,0.252,0.304,0.26,0.372,0.3,0.312,0.272,0.3,0.292,0.264,0.26,0.484,0.284,0.308,0.252,0.316,0.264,0.288,0.236,0.244
0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.0,0.004,0.0,0.004,0.0,0.004,0.0,0.004,0.0,0.004,0.0,0.004,0.0,0.004,0.0,0.004,0.0,0.004,0.004,0.004,0.0,0.004,0.004,0.004,0.0,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.0
0.0,0.392,0.28,0.472,0.228,0.36,0.232,0.444,0.264,0.296,0.268,0.364,0.26,0.26,0.264,0.484,0.244,0.324,0.264,0.26,0.232,0.304,0.236,0.372,0.288,0.3,0.26,0.3,0.268,0.248,0.24,0.484,0.264,0.292,0.236,0.312,0.244,0.268,0.22,0.244
0.0,578.326,293.268,352.369,179.84720000000002,191.84,132.9577142857143,176.7355,94.95022222222222,99.6064,69.41636363636363,90.63166666666667,67.08338461538462,64.44428571428571,52.244800000000005,81.7655,47.983294117647056,45.46333333333334,40.682315789473684,39.1372,36.79980952380953,37.57654545454545,32.92834782608696,45.2125,29.713279999999997,32.398153846153846,29.67511111111111,33.01228571428572,25.533241379310343,27.328266666666668,23.265677419354837,38.192875,24.29139393939394,23.299764705882353,22.038400000000003,23.051555555555556,20.687675675675678,19.826105263157892,18.838974358974358,18.642400000000002
